CUSTOMER_ID,READING_DATETIME,CALENDAR_KEY,GENERAL_SUPPLY_KWH,Day_Month,DayOfWeek,Weekday_or_Weekend,Time interval - 30mins,Time interval -1hr,Seasons,Holiday
10006414,10-02-2012 08:00,233632,0.141,10,5,0,16,8,2,0
10006414,10-02-2012 08:30,233635,0.088,10,5,0,17,8,2,0
10006414,10-02-2012 09:00,233638,0.078,10,5,0,18,9,2,0
10006414,10-02-2012 09:30,233641,0.151,10,5,0,19,9,2,0
10006414,10-02-2012 10:00,233644,0.146,10,5,0,20,10,2,0
10006414,10-02-2012 10:30,233647,0.077,10,5,0,21,10,2,0
10006414,10-02-2012 11:00,233650,0.052,10,5,0,22,11,2,0
10006414,10-02-2012 11:30,233653,0.055,10,5,0,23,11,2,0
10006414,10-02-2012 12:00,233656,0.055,10,5,0,24,12,2,0
10006414,10-02-2012 12:30,233659,0.252,10,5,0,25,12,2,0
10006414,10-02-2012 13:00,233662,0.166,10,5,0,26,13,2,0
10006414,10-02-2012 13:30,233665,0.181,10,5,0,27,13,2,0
10006414,10-02-2012 14:00,233668,0.159,10,5,0,28,14,2,0
10006414,10-02-2012 14:30,233671,0.055,10,5,0,29,14,2,0
10006414,10-02-2012 15:00,233674,0.049,10,5,0,30,15,2,0
10006414,10-02-2012 15:30,233677,0.05,10,5,0,31,15,2,0
10006414,10-02-2012 16:00,233680,0.049,10,5,0,32,16,2,0
10006414,10-02-2012 16:30,233683,0.05,10,5,0,33,16,2,0
10006414,10-02-2012 17:00,233686,0.17,10,5,0,34,17,2,0
10006414,10-02-2012 17:30,233689,0.32,10,5,0,35,17,2,0
10006414,10-02-2012 18:00,233692,0.084,10,5,0,36,18,2,0
10006414,10-02-2012 18:30,233695,0.071,10,5,0,37,18,2,0
10006414,10-02-2012 19:00,233698,0.074,10,5,0,38,19,2,0
10006414,10-02-2012 19:30,233701,0.14,10,5,0,39,19,2,0
10006414,10-02-2012 20:00,233704,0.268,10,5,0,40,20,2,0
10006414,10-02-2012 20:30,233707,0.324,10,5,0,41,20,2,0
10006414,10-02-2012 21:00,233710,0.251,10,5,0,42,21,2,0
10006414,10-02-2012 21:30,233713,0.235,10,5,0,43,21,2,0
10006414,10-02-2012 22:00,233716,0.28,10,5,0,44,22,2,0
10006414,10-02-2012 22:30,233719,0.507,10,5,0,45,22,2,0
